02/18/2020,PAYMENT - THANK YOU,,186.88,0.00
02/19/2020,ONNKI DONBURI,21.90,,21.90
02/19/2020,SLAB BURGERS,1.68,,23.58
02/19/2020,PRESTO,20.00,,43.58
02/24/2020,NOFRILLS DOMENICS 793,10.25,,53.83
02/25/2020,TIM HORTONS #1874,3.77,,57.60
02/29/2020,DOMINOS PIZZA 10263,19.68,,77.28
03/03/2020,RED SWAN PIZZA,28.66,,105.94
03/10/2020,NOFRILLS DOMENICS 793,38.51,,144.45
